label,mean,median,variance,standardDeviation,minValue,maxValue
0,249.112,236.398,10305,101.514,39.5145,439.611
0,303.388,298.91,14151.1,118.958,34.852,503.103
0,276.293,286.214,16461.2,128.301,49.1084,552.917
0,80.6646,62.5152,3629.45,60.2449,1.96109,216.02
0,71.0157,58.3215,2717.72,52.1317,2.66125,179.57
0,71.0807,61.2641,2617.96,51.166,2.40694,177.925
0,75.7166,58.5893,2955.55,54.365,2.29322,189.969
0,78.0947,71.7996,3178.24,56.3759,2.58757,193.793
0,69.9724,51.9032,2653.34,51.5106,3.04911,183.015
0,150.547,148.974,3613.83,60.1151,17.2732,267.283
0,160.711,167.389,4501.02,67.0896,11.9386,279.971
0,150.964,152.303,3624.59,60.2046,11.6223,262.9
0,148.577,149.312,3722.85,61.0152,8.04694,263.242
0,141.012,141.968,3517.93,59.3121,7.66488,246.543
0,146.318,147.614,3353.92,57.913,6.2112,263.679
0,148.049,152.014,3785.4,61.5256,10.1281,251.927
0,145.49,145.428,3244.92,56.9642,4.11263,244.313
0,147.716,150.838,3274.77,57.2256,8.09676,254.421
0,182.323,186.237,4706.44,68.6035,17.2725,296.762
0,183.531,178.26,6133.61,78.3174,11.5376,329.027
0,189.658,196.707,4303.5,65.6011,46.6328,296.952
0,120.839,118.097,3709.64,60.9068,8.69092,242.221
0,108.367,111.844,3227.49,56.811,7.81585,216.677
0,122.79,124.92,3506.66,59.2171,4.36965,230.211
0,112.342,117.755,2699.52,51.9569,5.31298,203.233
0,97.6802,102.22,2588.91,50.8813,4.59029,189.684
0,101.798,103.123,2957.79,54.3856,3.62647,196.667
0,349.897,356.677,26281.8,162.117,209.543,717.561
0,306.354,386.498,10944.1,104.614,172.527,416.246
0,342.819,335.77,20495.6,143.163,172.141,642.733
0,156.82,162.644,3489.99,59.0761,57.3309,269.341
0,208.324,202.021,10368.7,101.827,35.5987,392.005
0,142.528,136.886,3121.59,55.8711,39.0939,231.636
0,212.68,227.91,6890.76,83.0106,29.6626,339.92
0,191.128,198.065,5213.45,72.2042,32.6805,314.69
0,221.93,236.05,6683.54,81.7529,27.8925,349.699
0,170.933,170.357,5144.89,71.7279,10.0523,293.156
