label,mean,median,variance,standardDeviation,minValue,maxValue
0,385.63,336.03,55768.3,236.153,39.5145,1111.39
0,482.719,404.269,95157.5,308.476,34.852,1362.25
0,516.841,377.758,160473,400.591,49.1084,1595.53
0,162.945,133.344,18772.3,137.012,1.96109,559.729
0,148.356,116.642,17360.4,131.759,2.66125,584.149
0,149.411,113.924,17109,130.801,2.40694,528.348
0,154.173,120.398,16636.2,128.981,2.29322,477.803
0,166.025,126.308,21626.2,147.059,2.58757,580.842
0,149.259,112.247,17062.6,130.624,3.04911,501.436
0,222.445,197.32,14506.7,120.444,17.2732,522.83
0,246.139,213.616,20822.2,144.299,11.9386,645.16
0,227.094,195.859,16193.9,127.255,11.6223,540.224
0,219.66,197.915,14186.5,119.107,8.04694,517.176
0,210.941,189.111,14219.5,119.245,7.66488,537.974
0,219.621,185.444,15084.2,122.818,6.2112,553.356
0,218.562,201.898,14684.1,121.178,10.1281,554.424
0,211.825,193.747,13361.3,115.591,4.11263,585.263
0,225.782,191.444,17702.8,133.052,8.09676,609.19
0,257.504,239.771,16343.9,127.843,17.2725,560.756
0,278.208,251.62,25070,158.335,11.5376,670.335
0,266.952,242.084,18314,135.329,46.6328,683.926
0,198.772,163.974,16779.4,129.535,8.69092,532.668
0,170.941,153.215,11051.6,105.127,7.81585,427.702
0,199.965,166.881,17254.5,131.356,4.36965,557.701
0,180.483,158.08,13281.8,115.247,5.31298,503.642
0,164.379,137.662,12189.2,110.404,4.59029,415.203
0,175.814,146.134,15877,126.004,3.62647,526.79
0,522.877,576.734,75901.7,275.503,209.543,1054.77
0,409.458,409.231,36167.2,190.177,172.527,750.822
0,504.372,502.249,61505.5,248.003,172.141,875.393
0,212.743,218.293,9642.94,98.1985,57.3309,460.542
0,335.746,327.124,47485.1,217.911,35.5987,962.223
0,223.215,206.473,17612.7,132.713,39.0939,526.32
0,293.116,288.602,20503.7,143.191,29.6626,669.342
0,273.678,254.33,20718.8,143.94,32.6805,747.033
0,305.667,292.847,21499.7,146.628,27.8925,696.604
0,251.92,227.697,18877.2,137.394,10.0523,611.998
0,248.982,229.135,18949.7,137.658,3.9145,581.188
0,246.247,226.879,19596.7,139.988,11.4322,607.803
0,228.416,204.591,13298.2,115.318,25.5517,540.745
0,242.343,200.479,18903.7,137.491,45.7357,638.789
0,243.162,215.541,16731.5,129.35,38.3575,589.403
0,216.85,181.644,16015.2,126.551,23.4998,590.649
0,220.502,195.322,16918.6,130.072,32.0368,578.928
0,226.529,187.816,21498.5,146.624,20.8978,667.325
0,232.47,205.006,15817.1,125.766,7.11347,538.287
0,241.823,217.445,16808.1,129.646,5.80285,582.162
0,229.854,213.612,14032.9,118.461,24.1795,534.327
0,201.213,183.668,13233,115.035,8.90365,484.898
0,212.906,192.57,14810.7,121.699,15.0206,544.602
0,208.248,185.995,12237.2,110.622,12.5473,476.691
0,242.316,221.624,25239.9,158.871,9.81335,660.275
0,222.698,201.445,18890.9,137.444,8.16073,588.405
0,229.346,207.394,22204.6,149.012,7.64995,587.847
0,162.247,120.95,22033.3,148.436,2.15579,588.358
0,159.685,122.223,19136.7,138.335,2.53333,569.643
0,164.577,145.125,17321.8,131.612,1.78545,498.074
0,166.038,125.626,20675.1,143.788,1.7575,563.482
0,164.422,130.704,19391.6,139.254,2.62545,511.978
0,146.743,113.631,15951.2,126.298,3.78812,456.374
0,128.518,90.6729,11794.3,108.602,1.73235,427.426
0,135.272,101.765,11844.7,108.834,3.39689,447.036
0,124.604,79.0077,13364.7,115.606,1.04342,430.303
0,256.182,233.344,13137.9,114.621,35.319,551.669
0,249.471,223.915,14258.4,119.409,15.2995,580.751
0,261.603,231.397,14674.1,121.137,37.3158,588.046
0,217.131,206.987,10724,103.557,1.41405,473.562
0,230.189,218.868,12553.1,112.04,10.2828,496.52
0,224.909,212.62,10910.3,104.452,5.35645,462.668
0,204.025,180.796,14704.3,121.261,7.07626,511.526
0,199.144,181.279,13679.4,116.959,9.31125,460.611
0,209.738,188.076,15381.7,124.023,5.59024,527.746
0,216.613,208.246,11425.3,106.889,23.4618,532.676
0,221.309,217.185,11724.3,108.279,8.31874,519.852
0,218.208,207.635,11792.9,108.595,15.2578,491.356
0,195.08,169.311,14105.9,118.768,3.50755,498.762
0,211.995,194.135,14692.4,121.212,4.81318,520.298
0,201.511,182.897,14112.5,118.796,11.2547,511.614
0,173.155,159.199,15606.4,124.926,5.44224,483.321
0,170.081,150.759,13157,114.704,5.01682,461.574
0,172.341,162.93,14365.7,119.857,4.02147,462.937
0,174.63,141.352,19690.9,140.324,3.18088,665.055
0,177.161,146.01,17350.7,131.722,8.05377,611.12
0,229.354,197.447,29250.6,171.028,4.87612,732.625
0,156.957,123.673,14683,121.174,2.32298,461.689
0,169.726,153.311,16016.2,126.555,4.71673,487.011
0,151.996,128.554,14269.9,119.457,2.78582,435.309
0,220.507,198.943,17438.8,132.056,8.44156,555.231
0,228.044,212.094,15402.7,124.108,5.13521,523.724
0,224.912,223.397,16135.8,127.027,5.97575,525.206
0,211.365,196.127,13820.7,117.561,6.64315,516.051
0,211.903,213.012,15421.1,124.182,8.697,518.336
0,206.521,186.235,13981.1,118.242,3.35167,455.367
0,143.43,123.409,10350.2,101.736,2.22949,388.875
0,154.581,137.65,10880.8,104.311,1.80511,401.848
0,159.27,132.846,12662.9,112.53,6.44346,485.667
0,161.523,127.176,16264.3,127.532,1.49485,560.748
0,164.975,139.477,15701.9,125.307,1.27716,498.029
0,159.419,130.979,15388.9,124.052,4.45956,523.492
0,273.929,237.22,29707.5,172.359,2.25304,839.067
0,240.898,202.242,25516.9,159.74,5.47228,822.347
0,249.129,219.272,23057.1,151.846,4.70704,712.507
0,243.798,208.297,24462.3,156.404,2.13288,754.463
0,244.129,219.933,25453.1,159.54,5.7095,819.492
0,237.276,207.459,22919.6,151.392,8.88868,697.471
0,229.178,197.85,21043.8,145.065,7.20724,763.339
0,206.813,186.037,19179.6,138.49,2.62376,580.036
0,218.197,184.916,23854.1,154.448,5.43971,716.352
0,177.647,149.406,10631,103.107,5.64946,434.413
0,189.775,158.587,12292.5,110.871,19.3635,508.196
0,173.61,149.956,8654.72,93.0308,26.3841,470.227
0,194.586,176.413,13824.9,117.58,6.10599,485.103
0,191.639,176.874,11658,107.972,5.17892,429.427
0,191.528,168.107,12275.8,110.796,6.89929,446.677
0,153.298,137.894,12195.5,110.433,1.56732,484.414
0,162.068,150.086,12108.9,110.04,3.95077,454.028
0,178.903,155.242,16901.8,130.007,2.04677,557.373
