label,mean,median,variance,standardDeviation,minValue,maxValue
0,322.001,311.418,25479.3,159.622,39.5145,741.444
0,403.374,376.673,43853.7,209.413,34.852,918.967
0,403.195,326.421,69120.5,262.908,49.1084,1107.13
0,128.269,112.352,9878.04,99.3883,1.96109,349.396
0,113.197,93.5676,7758.88,88.0845,2.66125,317.169
0,115.749,92.1713,8456.73,91.9605,2.40694,334.118
0,121.679,99.4699,9022.43,94.9865,2.29322,343.206
0,127.232,106.665,10264.3,101.313,2.58757,378.706
0,115.503,88.8551,8738.51,93.48,3.04911,332.364
0,193.053,180.448,8445.7,91.9005,17.2732,397.378
0,210.133,192.923,11396.6,106.755,11.9386,449.102
0,195.81,179.389,9252.15,96.1881,11.6223,414.618
0,191.537,180.25,8583.7,92.6483,8.04694,387.048
0,181.197,172.613,7813.5,88.394,7.66488,374.189
0,189.494,171.677,8399.45,91.6485,6.2112,386.544
0,188.921,183.714,8335.38,91.2983,10.1281,392.725
0,182.134,181.337,6732.18,82.0499,4.11263,360.157
0,191.097,174.255,8572.31,92.5868,8.09676,417.524
0,226.081,225.563,9679.75,98.3857,17.2725,430.872
0,241.993,225.605,15735.6,125.442,11.5376,508.17
0,232.648,230.302,9303.83,96.4563,46.6328,458.571
0,166.907,152.526,9415.29,97.0324,8.69092,380.04
0,146.537,136.157,7034.45,83.8717,7.81585,318.229
0,166.236,153.676,8680.5,93.1692,4.36965,372.065
0,151.299,142.687,6999.73,83.6644,5.31298,351.975
0,137.42,127.628,7232.47,85.0439,4.59029,340.739
0,143.104,132.948,7875.17,88.7422,3.62647,357.791
0,464.188,437.256,55622.5,235.844,209.543,838.349
0,361.985,406.982,23292.8,152.62,172.527,725.247
0,447.711,478.936,47656.9,218.305,172.141,828.621
0,194.083,201.153,6460.61,80.3779,57.3309,324.719
0,276.838,259.572,21667.1,147.198,35.5987,561.359
0,189.34,179.481,9704.21,98.5099,39.0939,418.175
0,258.354,266.99,11676.7,108.059,29.6626,480.336
0,237.06,236.026,10788.1,103.866,32.6805,435.894
0,269.355,273.553,12211.2,110.504,27.8925,507.278
0,219.022,211.45,11308.5,106.341,10.0523,437.489
0,215.917,211.865,11145,105.57,3.9145,441.409
0,212.787,206.511,11904.3,109.107,11.4322,436.25
0,199.489,188.047,7027.26,83.8288,25.5517,384.049
0,205.723,187.017,9027.57,95.0135,45.7357,434.237
0,210.821,202.785,9125.25,95.5262,38.3575,437.79
0,184.17,166.004,8231.54,90.7279,23.4998,391.322
0,187.282,185.206,8894.82,94.3123,32.0368,400.578
0,185.886,180.615,8569.96,92.5741,20.8978,416.421
0,201.541,189.446,8991.69,94.8245,7.11347,425.29
0,208.127,196.503,8700.9,93.2786,5.80285,439.521
0,201.169,194.072,8237.69,90.7617,24.1795,393.903
0,174.161,171.623,8252.06,90.8408,8.90365,371.367
0,182.747,176.055,8148.67,90.27,15.0206,370.684
0,181.659,175.559,7348.64,85.7242,12.5473,363.643
0,203.572,190.259,14610.7,120.875,9.81335,451.312
0,190.42,173.185,11593.6,107.673,8.16073,404.413
0,194.969,182.648,13908.9,117.936,7.64995,437.224
0,122.994,93.4586,10573.8,102.829,2.15579,386.082
0,124.497,100.055,10001.1,100.005,2.53333,349.765
0,133.326,118.054,10398,101.971,1.78545,354.393
0,130.425,103.539,11518,107.322,1.7575,387.413
0,129.988,101.88,11017.5,104.964,2.62545,372.562
0,115.777,92.5429,9187.35,95.8506,3.78812,341.106
0,101.033,76.3181,6337.58,79.6089,1.73235,289.742
0,108.187,87.9662,6532.21,80.8221,3.39689,296.167
0,94.4507,68.5754,6636.6,81.4653,1.04342,307.652
0,228.237,221.194,7581.02,87.069,35.319,421.11
0,219.957,208.418,8042.11,89.6778,15.2995,416.669
0,230.497,218.318,7480.73,86.4912,37.3158,438.646
