label,mean,median,variance,standardDeviation,minValue,maxValue
0,165.95,180.243,3208.84,56.6466,39.5145,235.564
0,202.925,211.58,4645.86,68.1605,34.852,296.093
0,170.723,157.307,4410.12,66.4087,49.1084,283.933
0,29.1733,27.2874,264.111,16.2515,1.96109,62.1535
0,26.5103,24.3517,193.002,13.8925,2.66125,56.6105
0,27.6978,23.2164,267.51,16.3557,2.40694,60.7759
0,29.7704,28.6591,201.656,14.2006,2.29322,57.5951
0,29.2744,25.5195,293.669,17.1368,2.58757,70.7626
0,26.7117,25.6574,159.145,12.6153,3.04911,51.163
0,100.957,104.852,1186.98,34.4526,17.2732,148.271
0,104.456,108.161,1599.36,39.992,11.9386,165.342
0,101.636,111.275,1273.44,35.6853,11.6223,151.233
0,97.7653,104.574,1280.44,35.7833,8.04694,149.086
0,91.9764,99.7482,1298.49,36.0346,7.66488,141.508
0,99.7601,107.238,1233.28,35.118,6.2112,147.186
0,96.372,105.287,1413.4,37.5952,10.1281,150.953
0,98.1152,107.052,1212.41,34.8196,4.11263,143.56
0,101.029,110.017,1274.29,35.6973,8.09676,150.701
0,124.479,133.839,1667.39,40.8337,17.2725,185.886
0,117.094,125.477,1634.79,40.4325,11.5376,176.139
0,134.565,150.198,1656.25,40.697,46.6328,187.859
0,69.994,73.153,1003.26,31.6743,8.69092,116.428
0,61.0042,61.2043,967.128,31.0987,7.81585,111.28
0,73.9669,82.2944,1258.54,35.476,4.36965,124.07
0,68.2215,75.0232,994.707,31.539,5.31298,114.526
0,54.5803,60.2864,789.947,28.106,4.59029,101.39
0,55.1911,56.9275,810.292,28.4656,3.62647,101.154
0,226.83,231.347,240.064,15.494,209.543,255.623
0,192.916,201.093,272.66,16.5124,172.527,215.653
0,221.145,229.145,1111.94,33.3457,172.141,284.117
0,108.637,130.894,1241.89,35.2405,57.3309,155.789
0,129.478,140.057,2930.11,54.1305,35.5987,200.07
0,95.0216,102.314,578.711,24.0564,39.0939,129.009
0,142.573,144.614,2684.28,51.81,29.6626,225.549
0,129.713,136.354,1859.46,43.1215,32.6805,196.487
0,152.06,159.82,2541.43,50.4126,27.8925,229.798
0,112.243,124.142,2056.49,45.3485,10.0523,170.129
0,109.79,123.523,2052.26,45.3019,3.9145,167.897
0,99.5889,104.073,1806.83,42.5069,11.4322,167.273
0,117.215,125.974,980.042,31.3056,25.5517,160.348
0,114.582,117.714,820.105,28.6375,45.7357,163.731
0,117.37,125.949,1222.1,34.9586,38.3575,168.191
0,97.1178,106.389,1010.02,31.7808,23.4998,142.343
0,91.3785,92.3888,776.913,27.8732,32.0368,141.362
0,92.941,97.8278,910.586,30.1759,20.8978,146.972
0,108.487,115.019,1606.57,40.0821,7.11347,165.051
0,115.434,122.591,1276.78,35.7321,5.80285,162.175
0,108.148,116.12,1299.03,36.042,24.1795,158.884
0,81.6866,84.8411,1134.01,33.6751,8.90365,132.473
0,90.1558,94.2508,1290.5,35.9235,15.0206,141.61
0,96.4142,106.347,1742.7,41.7456,12.5473,146.978
0,78.7662,81.2911,1412.96,37.5893,9.81335,147.441
0,78.1624,76.124,1575.34,39.6905,8.16073,145.806
0,73.344,74.8317,1389.41,37.2747,7.64995,137.174
0,26.3026,25.83,151.222,12.2972,2.15579,51.1197
0,27.4056,24.9828,193.967,13.9272,2.53333,56.975
0,31.4638,29.6083,325.492,18.0414,1.78545,68.4505
0,28.1403,27.7775,217.871,14.7605,1.7575,58.9949
0,28.5319,23.1257,263.168,16.2225,2.62545,62.5575
0,24.1334,22.133,156.417,12.5067,3.78812,51.5377
0,26.88,26.6074,186.663,13.6625,1.73235,52.4125
0,30.5647,29.0827,243.8,15.6141,3.39689,58.8806
0,21.9808,20.7145,114.23,10.6878,1.04342,42.9986
0,140.043,146.328,1145.28,33.842,35.319,191.424
0,130.943,136.41,1316.62,36.2853,15.2995,180.842
0,145.755,151.992,1150.26,33.9156,37.3158,187.453
0,107.363,118.002,1688.45,41.0908,1.41405,163.018
0,111.716,119.346,1793.26,42.3469,10.2828,168.034
0,114.942,127.101,1713.78,41.3978,5.35645,168.571
0,82.9647,90.3884,1287.83,35.8864,7.07626,134.196
0,74.9222,77.4443,1227.85,35.0407,9.31125,132.171
0,84.1255,90.7428,1266.79,35.592,5.59024,139.169
0,103.265,113.731,1573.47,39.667,23.4618,158.736
0,104.088,112.589,1792.93,42.343,8.31874,164.755
0,103.833,115.34,1758.78,41.9378,15.2578,163.007
0,75.5394,78.4429,992.515,31.5042,3.50755,122.042
0,87.3939,95.7339,1326.84,36.4258,4.81318,138.429
0,81.4728,82.232,1287.98,35.8884,11.2547,136.484
0,42.9606,38.8148,608.921,24.6763,5.44224,92.8593
0,51.0892,47.8664,767.29,27.7,5.01682,102.081
0,47.5918,46.0645,669.125,25.8674,4.02147,96.397
0,39.3399,36.2885,504.441,22.4598,3.18088,81.193
0,53.9643,56.6914,718.858,26.8115,8.05377,91.5484
0,61.2537,58.6149,1366.29,36.9633,4.87612,125.271
0,35.1705,36.5041,362.021,19.0269,2.32298,70.9428
0,37.4242,32.8151,449.95,21.212,4.71673,81.7092
0,28.2091,27.1758,218.641,14.7865,2.78582,60.5266
0,81.9641,86.387,1256.41,35.4459,8.44156,139.859
0,97.5996,101.797,1454.82,38.1422,5.13521,160.648
0,83.8504,81.8616,2009.73,44.83,5.97575,155.871
0,87.5042,95.1477,1724.94,41.5324,6.64315,147.979
