label,mean,median,variance,standardDeviation,minValue,maxValue
0,532.145,366.634,258299,508.231,39.5145,2430.31
0,680.128,441.13,501907,708.454,34.852,3883.37
0,704.513,431.416,513311,716.457,49.1084,4291.29
0,237.651,152.335,80520.9,283.762,1.96109,2305.66
0,235.149,133.927,95543.7,309.102,2.66125,1992.91
0,223.611,132.315,81073.5,284.734,2.40694,2580.34
0,231.147,142.216,90003.3,300.006,2.29322,2171.04
0,234.182,146.656,67463.5,259.737,2.58757,1708.67
0,218.541,134.431,79018.5,281.102,3.04911,3004.43
0,303.46,215.143,116923,341.939,17.2732,3955.84
0,333.145,233.929,138107,371.628,11.9386,4922.44
0,282.748,215.334,52220.4,228.518,11.6223,1920.14
0,301.514,215.483,118666,344.479,8.04694,4402.1
0,295.647,207.583,117637,342.983,7.66488,3643.71
0,323.915,203.783,213339,461.886,6.2112,6204.3
0,309.841,213.618,124066,352.23,10.1281,2704.12
0,294.396,207.398,98090.8,313.194,4.11263,3089.94
0,301.053,209.482,83141,288.342,8.09676,2592.24
0,317.592,260.96,56562.4,237.829,17.2725,1578.17
0,345.996,277.742,67888.3,260.554,11.5376,1436.16
0,359.043,268.566,120251,346.773,46.6328,3194.54
0,261.035,189.092,57410,239.604,8.69092,1391.71
0,225.91,172.56,44849.8,211.778,7.81585,1325.95
0,289.683,192.831,170272,412.64,4.36965,4356.59
0,253.078,169.171,89979.6,299.966,5.31298,3399.67
0,218.939,151.488,45768.9,213.937,4.59029,1517.24
0,254.185,161.082,91074.3,301.785,3.62647,2270.53
0,639.621,717.561,188439,434.096,209.543,1842.81
0,454.597,412.775,48458.8,220.134,172.527,825.098
0,555.532,572.882,87735.5,296.202,172.141,1293.71
0,311.117,225.866,112695,335.701,57.3309,1821.42
0,531.5,365.686,444102,666.41,35.5987,3011.15
0,419.705,219.098,462649,680.183,39.0939,3084.95
0,377.026,304.251,97100.7,311.61,29.6626,2011.26
0,416.96,271.005,311690,558.292,32.6805,4928.37
0,393.001,312.09,146172,382.325,27.8925,3962.17
0,327.041,249.742,87294.5,295.456,10.0523,2489.51
0,314.815,250.47,67228.3,259.284,3.9145,2243.3
0,320.489,238.614,91089.7,301.811,11.4322,2846.45
0,284.343,216.471,48854.5,221.031,25.5517,1872.29
0,319.708,230.66,84498,290.685,45.7357,1928.37
0,306.838,227.031,58862.3,242.616,38.3575,1655.82
0,273.36,203.271,46441.5,215.503,23.4998,1262.18
0,278.214,204.678,48041.7,219.184,32.0368,1383.84
0,311.935,206.747,118296,343.942,20.8978,3551.79
0,288.889,219.368,54803.9,234.102,7.11347,2349.08
0,309.61,233.968,72912.6,270.023,5.80285,2312.77
0,299.254,230.89,79991,282.827,24.1795,3045.61
0,250.31,197.936,40486.4,201.212,8.90365,2341.67
0,267.635,205.697,46413.4,215.438,15.0206,1740.67
0,261.742,201.176,45149.2,212.483,12.5473,1947.46
0,329.663,240.906,134968,367.38,9.81335,3525.81
0,292.449,231.347,72865.3,269.936,8.16073,2250.98
0,292.531,231.895,67526.2,259.858,7.64995,1721.16
0,224.262,150.103,60373.4,245.71,2.15579,1920.98
0,249.582,143.591,113823,337.376,2.53333,2157.93
0,231.126,163.026,68810.9,262.318,1.78545,2013.33
0,229.567,149.166,73608.1,271.308,1.7575,3757.61
0,233.226,155.746,82434.2,287.114,2.62545,2885.97
0,233.21,131.365,127876,357.597,3.78812,3424.68
0,193.098,107.494,86671.7,294.401,1.73235,4444
0,201.65,120.111,64387.1,253.746,3.39689,2190.17
0,183.722,104.812,54722,233.927,1.04342,2086.79
0,308.125,248.883,40854.8,202.126,35.319,1689
0,309.518,242.543,51595.8,227.147,15.2995,1664.38
0,316.768,252.107,51360,226.628,37.3158,2607.43
0,257.634,222.51,27303.4,165.237,1.41405,1420.2
0,270.907,232.741,30008.4,173.229,10.2828,1532.06
0,271.702,227.446,45265.8,212.758,5.35645,2982.25
0,256.396,196.098,44254.2,210.367,7.07626,1878.15
0,256.701,201.674,76991.5,277.473,9.31125,3605.13
0,277.942,206.446,72018.1,268.362,5.59024,2156.98
0,307.326,227.147,140101,374.301,23.4618,3092.77
0,280.402,235.456,61276.9,247.542,8.31874,2562.75
0,275.798,223.214,54865.4,234.234,15.2578,2109.59
0,249.152,190.092,46898.9,216.562,3.50755,2104.73
0,264.677,214.085,50394.9,224.488,4.81318,2685.46
0,259.878,200.397,56599.1,237.906,11.2547,2804.53
0,229.683,174.695,55189.2,234.924,5.44224,2103.36
0,223.949,168.367,48926.8,221.194,5.01682,1838.39
0,220.992,178.366,42983.3,207.324,4.02147,1957.34
0,339.371,166.059,327363,572.156,3.18088,4816.24
0,298.557,163.452,212479,460.955,8.05377,3629.23
0,333.949,225.064,155024,393.731,4.87612,2602.58
0,235.364,151.023,103939,322.395,2.32298,3211.9
0,243.019,173.365,89330.7,298.882,4.71673,3029.63
0,225.327,157.67,81935.3,286.243,2.78582,2148.13
0,302.136,224.199,105527,324.849,8.44156,2777.2
0,291.236,230.036,65988.9,256.883,5.13521,2491.3
0,292.18,243.284,77081.3,277.635,5.97575,2620.98
0,279.386,213.593,94465.9,307.353,6.64315,3811.42
0,265.734,226.483,47207.4,217.273,8.697,1980.14
0,253.118,208.429,39711.6,199.278,3.35167,1655.46
0,192.704,141.687,41738.3,204.3,2.22949,2168.94
0,206.89,157.451,49890.8,223.363,1.80511,2346.31
0,234.712,144.499,84024,289.869,6.44346,3145.11
0,230.922,152.227,68639,261.99,1.49485,2514.13
0,226.097,160.063,56295,237.266,1.27716,1906.67
0,230.024,153.603,71050.1,266.552,4.45956,2673.41
0,390.172,254.548,184126,429.1,2.25304,3352.2
0,353.759,216.14,178215,422.155,5.47228,3369.87
0,353.509,235.727,146786,383.126,4.70704,2934.08
0,369.27,226.886,331783,576.006,2.13288,8096.66
0,353.899,236.459,158638,398.294,5.7095,3242.6
0,326.308,223.761,105953,325.504,8.88868,2707.55
0,331.541,212.965,128055,357.848,7.20724,2358.72
0,301.266,204.51,128669,358.704,2.62376,2550.65
0,333.334,206.353,218045,466.953,5.43971,5509.81
0,227.439,164.451,37977.9,194.879,5.64946,1370.24
0,247.553,173.886,51317.3,226.533,19.3635,1763.32
0,239.685,166.543,55004,234.529,26.3841,1478.54
0,256.211,198.213,53930.5,232.229,6.10599,1598.03
0,241.804,192.562,42629.9,206.47,5.17892,1554.33
0,245.101,185.215,50852.2,225.504,6.89929,1932.26
0,235.476,152.086,107457,327.807,1.56732,2976.26
0,227.74,165.072,72104.6,268.523,3.95077,2594.31
0,269.04,174.165,109866,331.461,2.04677,2218.37
0,263.599,175.738,112336,335.166,3.70633,3659.37
0,250.59,180.296,103057,321.024,4.93841,2859.68
0,250.762,180.902,69644.5,263.902,3.5314,2039.01
0,196.631,132.215,42756.9,206.777,6.15439,1146.92
0,173.93,107.753,47509.8,217.967,0.802506,1527.29
0,183.058,127.532,46100.9,214.711,4.04596,1875.77
0,274.264,110.1,271053,520.628,4.61581,3221.12
0,230.466,115.966,106895,326.947,1.21192,2188.26
0,221.75,98.6963,183711,428.615,3.24339,4509.16
1,214.237,156.086,52520.2,229.173,4.0787,2284.13
1,223.506,159.218,72879.2,269.961,1.10563,3186.15
1,220.527,175.701,58350.9,241.559,1.20416,3501.18
1,244.395,186.899,49612.8,222.739,2.17432,2074.77
1,241.296,183.302,50176.3,224.001,2.98679,1895.36
1,238.971,178.728,51771.8,227.534,2.07406,2112.48
1,263.047,189.807,87749.6,296.226,13.6211,3439.28
1,247.842,191.201,59858.5,244.66,9.34365,2009.36
1,258.754,195.624,68710,262.126,9.15627,2112.21
1,170.432,116.094,39013.4,197.518,2.42829,1718.36
1,167.16,116.087,44228.5,210.306,2.20003,2765.16
1,159.192,109.31,28546.2,168.956,4.07449,1328.35
1,192.037,136.059,88305.4,297.162,2.38164,5975.33
1,192.715,141.057,93255.6,305.378,2.23893,4186.44
1,184.079,138.218,45452.2,213.195,3.70341,2276.05
1,225.598,154.603,77756.1,278.848,6.78508,3201.24
1,244.384,156.85,116068,340.688,5.84376,4858.35
1,219.076,148.544,66946.8,258.741,5.13813,2839
1,170.091,131.906,25814.5,160.669,2.73763,1838.71
1,190.199,136.089,45468,213.232,3.10402,2136.03
1,181.896,129.104,41906.4,204.71,1.8977,2093.31
1,162.692,105.261,54710.6,233.903,2.12052,3261.34
1,159.265,111.58,28128.9,167.717,1.9128,1496.6
1,155.508,109.924,27632.9,166.232,1.00417,1846.59
1,249.78,187.238,61368.7,247.727,3.8753,2371.68
1,258.962,179.181,73964.9,271.965,9.65516,2601.38
1,253.422,187.989,65179.1,255.302,3.14164,2065.84
1,257.152,200.498,78917.9,280.923,7.96418,4186.05
1,278.727,210.869,106775,326.765,11.4558,4086.85
1,257.636,198.728,59661.4,244.257,9.14884,3355.55
1,199.946,149.995,51236.1,226.354,4.4411,2492.15
1,230.875,172.921,56506.1,237.71,8.52336,2047.16
1,226.012,160.102,61662,248.318,4.62016,2374.27
1,249.57,176.571,74892.3,273.664,5.06246,2545.94
1,256.525,186.53,67114.8,259.065,3.56496,2542.42
1,250.31,187.641,55104.3,234.743,1.67103,1577.33
1,284.061,207.043,72960.1,270.111,8.99236,2640.43
1,297.876,225.456,78239.6,279.713,15.7044,2267.73
1,309.186,235.514,86556.7,294.205,6.84575,2557.79
1,176.266,116.065,45093.9,212.353,1.99234,1751.13
1,184.872,119.094,49650.7,222.824,1.86245,1882.48
1,165.268,100.1,50983.5,225.795,3.12141,1914.48
1,181.06,116.834,90123.8,300.206,2.18094,3796.38
