label,mean,median,variance,standardDeviation,minValue,maxValue
0,239.305,159.856,47866.4,218.784,35.8424,994.647
0,247.73,154.513,70842.1,266.162,32.9753,1330.86
0,221.132,132.787,45260.8,212.746,43.0848,962.901
0,55.1459,34.9946,3156.02,56.1785,1.09483,253.651
0,50.9658,37.5732,2233.66,47.2616,1.72374,216.433
0,60.3966,34.442,4370.86,66.1125,1.76749,278.74
0,117.706,99.944,7308.73,85.4911,0.787412,351.263
0,127.282,104.371,9517.48,97.5576,1.82638,399.479
0,130.539,101.679,10532.3,102.627,0.735582,429.316
0,99.5876,89.7301,5238.02,72.3742,1.71368,282.914
0,98.4568,83.8726,5631.68,75.0445,3.04228,299.771
0,96.6097,84.6972,5326.43,72.9824,2.58048,286.217
0,72.5867,44.402,4497.76,67.0654,1.9158,250.459
0,66.7286,34.1763,4243.43,65.1416,2.28068,246.359
0,76.1411,43.4655,4962.44,70.4446,3.04677,257.748
0,38.0393,24.4912,1294.25,35.9758,1.19873,182.62
0,38.2144,23.6963,1342.02,36.6336,1.26937,166.366
0,38.1482,22.7809,1516.47,38.9419,1.93195,178.781
0,88.2725,70.7235,5517.62,74.2807,0.802782,308.67
0,90.5301,73.4528,5803.25,76.1791,0.906956,301.689
0,88.1305,72.8342,5179.6,71.9694,0.615768,298.901
0,68.5975,50.7928,3791.35,61.5739,0.287533,254.513
0,69.1678,50.4519,4029.88,63.4813,0.616328,264.1
0,71.123,48.9256,4462.46,66.8016,0.658114,279.401
0,57.6096,31.5235,3374.22,58.088,0.742154,232.113
0,59.01,37.1005,3196.75,56.5398,0.560297,217.341
0,57.0927,32.8452,3273.75,57.2167,0.807299,230.177
0,60.1097,46.3685,2751.78,52.4574,0.373457,207.676
0,61.6741,47.3806,2905.17,53.8997,0.482113,208.907
0,60.2268,49.7934,2569.79,50.6931,1.12621,200.074
0,62.4135,46.7186,3290.94,57.3667,1.00103,238.701
0,62.3922,42.9492,3523.76,59.3613,0.560483,241.597
0,64.5688,48.017,3348.95,57.8701,0.602475,237.909
0,49.3965,25.7806,2871.44,53.5859,0.459616,239.844
0,50.923,25.6235,3225.17,56.7906,0.582111,263.625
0,48.2701,26.333,2686.53,51.8317,1.20467,234.819
0,64.5821,30.1176,5302.04,72.8151,1.06611,305.03
0,70.0817,33.8512,6213.61,78.8265,1.09159,325.496
0,69.6511,33.704,5640.6,75.1039,1.02251,294.204
0,52.5931,23.1819,3839.07,61.9602,1.04524,259.681
0,58.0203,23.8192,5042.26,71.0089,1.20179,291.21
0,54.0002,22.9099,4020.55,63.4078,1.59887,263.475
0,41.6723,21.0345,2125.83,46.1067,1.39112,207.108
0,42.8256,20.31,2316.2,48.127,0.504287,201.455
0,43.3065,20.5563,2516.44,50.1641,1.5979,222.505
0,121.598,100.685,8041.27,89.6731,3.27832,356.797
0,119.74,99.8992,7705.25,87.7795,5.94355,345.77
0,121.067,101.12,7767.92,88.1358,6.48222,350.816
0,124.934,110.382,7459.73,86.3697,1.24959,344.349
0,128.846,113.791,8513.13,92.2666,1.08375,378.343
0,124.502,105.817,7759.18,88.0862,1.3031,352.992
0,92.4063,71.2182,6693.35,81.8129,0.491449,318.802
0,95.1356,80.4857,6334.27,79.5881,0.957089,301.981
0,85.7466,74.188,5457.69,73.8762,0.310362,297.875
0,123.841,103.018,8905.03,94.3665,1.19409,347.796
