label,mean,median,variance,standardDeviation,minValue,maxValue
0,62.3364,62.5403,187.297,13.6856,35.8424,82.8528
0,66.0784,72.3692,271.672,16.4825,32.9753,84.895
0,63.6069,62.9422,70.1466,8.37536,43.0848,78.8231
0,9.26147,9.4187,16.4622,4.05736,1.09483,16.6166
0,8.49217,9.8434,8.83066,2.97164,1.72374,12.3926
0,7.83164,8.15373,9.49761,3.08182,1.76749,13.2821
0,24.1039,25.4555,114.66,10.7079,0.787412,41.5346
0,22.6805,23.2179,89.1888,9.44398,1.82638,38.3479
0,24.0628,23.4569,111.484,10.5586,0.735582,42.6511
0,16.2824,15.7366,52.9547,7.277,1.71368,30.1939
0,15.0867,14.841,39.6892,6.29993,3.04228,27.468
0,14.6795,14.4135,37.6079,6.13253,2.58048,26.5064
0,10.0421,10.0982,10.2067,3.1948,1.9158,15.4848
0,9.01005,9.0752,6.31546,2.51306,2.28068,13.2342
0,11.6588,12.212,12.7827,3.57529,3.04677,17.5001
0,7.83475,8.26018,6.33215,2.51638,1.19873,11.9258
0,7.92354,8.15868,5.59562,2.36551,1.26937,11.7423
0,7.49808,7.66075,4.41036,2.10009,1.93195,10.7217
0,9.40598,8.71282,30.5887,5.5307,0.802782,20.4817
0,10.4375,10.1422,29.674,5.44738,0.906956,21.2691
0,10.1596,9.20228,34.9854,5.91485,0.615768,22.3088
0,7.01769,6.6699,13.2621,3.64171,0.287533,14.0522
0,6.71703,6.38147,11.6519,3.41349,0.616328,13.6898
0,7.4807,7.35612,13.9774,3.73864,0.658114,14.6817
0,6.03119,6.10964,5.96284,2.44189,0.742154,10.5318
0,6.51838,6.35848,7.38479,2.7175,0.560297,11.4384
0,6.38246,6.42078,6.53172,2.55572,0.807299,10.7407
0,5.80298,5.28115,9.14354,3.02383,0.373457,11.7571
0,6.08123,5.61063,8.62976,2.93765,0.482113,11.4523
0,6.6127,6.39818,9.20545,3.03405,1.12621,12.2177
0,6.44111,6.37966,8.6845,2.94695,1.00103,11.9021
0,5.98227,5.99166,7.90127,2.81092,0.560483,11.3715
0,7.24429,7.15249,11.1992,3.34652,0.602475,13.282
0,6.54461,6.56415,5.81454,2.41134,0.459616,10.6379
0,6.65969,6.90769,6.91322,2.6293,0.582111,10.6892
0,6.38363,6.54194,5.35242,2.31353,1.20467,10.2592
0,6.19196,6.51654,5.64581,2.37609,1.06611,10.0867
0,6.79688,6.49096,8.50506,2.91634,1.09159,12.025
0,6.63717,6.52165,5.97865,2.44513,1.02251,11.1705
