label,mean,median,variance,standardDeviation,minValue,maxValue
0,51.5894,56.3555,78.9719,8.88661,35.8424,62.0226
0,52.9127,56.8093,146.055,12.0853,32.9753,69.6835
0,57.1829,60.0765,29.8999,5.46808,43.0848,62.5179
0,5.90253,6.60754,5.44924,2.33436,1.09483,9.11824
0,5.99314,6.38792,4.64916,2.15619,1.72374,9.63424
0,5.17127,5.26849,2.64936,1.62769,1.76749,7.96802
0,14.8992,15.2515,38.5899,6.21207,0.787412,24.3682
0,14.8131,16.2935,31.704,5.63063,1.82638,22.8427
0,14.9518,16.0541,27.8192,5.27439,0.735582,23.3876
0,10.0674,10.1971,11.6801,3.41762,1.71368,15.3095
0,9.73746,10.0415,9.5132,3.08435,3.04228,14.6547
0,9.45253,9.49858,8.34362,2.88853,2.58048,14.2707
0,7.33937,7.58663,3.42731,1.8513,1.9158,10.0488
0,6.89358,7.17969,2.14734,1.46538,2.28068,8.99595
0,8.63545,8.61378,5.07964,2.25381,3.04677,12.0092
0,5.70773,5.85571,2.49065,1.57818,1.19873,8.20849
0,5.92808,6.31063,2.21641,1.48876,1.26937,8.08431
0,5.77096,6.08757,2.01045,1.4179,1.93195,7.60147
0,4.65576,4.31718,4.59253,2.14302,0.802782,8.68245
0,5.8092,5.96312,6.29318,2.50862,0.906956,10.1287
0,5.10215,5.08413,5.27013,2.29568,0.615768,9.196
0,3.90598,4.0222,2.29329,1.51436,0.287533,6.63383
0,3.82208,3.88131,2.21551,1.48846,0.616328,6.35838
0,4.31403,4.47468,3.23829,1.79952,0.658114,7.35483
0,3.94529,4.05713,1.7738,1.33184,0.742154,6.08841
0,4.19785,4.28032,1.77392,1.33189,0.560297,6.35098
0,4.22708,4.4885,2.15769,1.46891,0.807299,6.40104
0,3.23666,3.37644,1.40915,1.18708,0.373457,5.22041
0,3.55698,3.72501,1.64161,1.28125,0.482113,5.58707
0,4.00278,4.08424,1.99494,1.41242,1.12621,6.26777
0,3.93135,4.00725,2.02977,1.4247,1.00103,6.33495
0,3.61701,3.64175,2.08282,1.4432,0.560483,5.98412
0,4.41501,4.69614,3.07875,1.75464,0.602475,7.06378
0,4.4571,4.53013,1.62925,1.27642,0.459616,6.52998
0,4.40713,4.71142,2.44583,1.56392,0.582111,6.8845
0,4.39563,4.52463,1.74886,1.32245,1.20467,6.4975
0,4.1343,4.09504,1.76373,1.32805,1.06611,6.47106
0,4.29348,4.39482,1.75492,1.32473,1.09159,6.48542
0,4.58262,4.71431,1.76195,1.32739,1.02251,6.51112
0,4.43823,4.56808,1.86703,1.36639,1.04524,6.50025
0,4.47822,4.54728,1.59114,1.2614,1.20179,6.52448
0,4.61995,4.89448,1.768,1.32966,1.59887,6.5666
0,4.76985,4.99671,1.78305,1.33531,1.39112,6.86062
0,4.57702,4.79599,1.65542,1.28663,0.504287,6.40723
0,4.7868,4.81816,1.8629,1.36488,1.5979,6.80633
0,15.1621,15.4956,28.7292,5.35996,3.27832,23.7674
0,16.0111,16.1603,22.3871,4.73151,5.94355,24.0905
0,14.7905,15.4576,20.4538,4.52258,6.48222,22.3393
0,11.8877,11.7806,37.5921,6.13124,1.24959,22.522
0,10.9715,10.0489,33.1304,5.7559,1.08375,21.3819
0,11.1639,11.2627,38.7541,6.22528,1.3031,23.3348
0,4.29553,4.58929,3.39468,1.84247,0.491449,7.14308
0,4.24774,4.07822,3.95672,1.98915,0.957089,8.07976
0,3.4859,3.42356,2.48369,1.57597,0.310362,6.58404
0,5.2103,4.71455,7.3504,2.71116,1.19409,11.3026
0,5.85809,5.44364,9.37321,3.06157,0.674305,12.1719
0,5.95937,5.5611,9.82937,3.13518,0.697002,12.6932
0,6.81575,6.4667,10.517,3.243,0.899649,12.9883
0,7.59206,7.31424,12.5853,3.54757,1.04565,14.1686
0,6.0245,5.97488,6.18174,2.48631,1.13511,10.4966
0,6.42927,6.30911,6.44747,2.53919,0.508811,10.492
0,6.71274,7.03501,6.31932,2.51383,1.22641,10.5517
0,6.44659,6.52304,6.28602,2.50719,0.692041,10.8211
0,4.54674,4.7041,2.90346,1.70395,0.930587,7.7584
0,4.90159,4.93259,5.12575,2.26401,0.200288,9.20898
0,4.91872,4.69588,5.07894,2.25365,0.806691,9.41437
0,4.66041,4.51587,3.37329,1.83665,1.18247,7.98707
0,5.45594,5.44912,4.90549,2.21483,0.585255,9.3232
0,5.06313,5.11208,3.33237,1.82548,0.659036,8.19443
0,5.779,5.77575,5.01616,2.23968,1.03517,9.62866
0,5.6321,5.70397,5.22408,2.28563,0.662451,9.8039
0,6.18439,5.96482,6.65009,2.57878,1.10743,11.1292
